Name,Score,1_Score,1_Halfway Score,1_Driving Accuracy,1_Greens In Regulation,1_Putting Average,1_Stroke Differential,1_Scrambling,1_Birdie/Bogey,1_Consecutive Cuts,1_Time,2_Score,2_Halfway Score,2_Driving Accuracy,2_Greens In Regulation,2_Putting Average,2_Stroke Differential,2_Scrambling,2_Birdie/Bogey,2_Consecutive Cuts,2_Time
Emiliano Grillo,10.0,11.0,8.0,58.93,66.67,1.729,1.33,54.17,1.15,6.0,1.0,12.0,15.0,60.71,65.28,1.745,1.63,40.0,0.81,5.0,2.0
Bud Cauley,10.0,14.0,13.0,87.5,77.78,1.75,0.56,56.25,2.11,3.0,3.0,11.0,12.0,62.5,66.67,1.729,1.59,62.5,1.36,2.0,4.0
Justin Rose,11.0,18.0,10.0,55.36,62.5,1.867,-0.42,62.96,0.69,3.0,1.0,13.0,9.0,57.14,65.28,1.83,1.38,52.0,0.75,2.0,2.0
Rickie Fowler,12.0,14.0,10.0,55.36,65.28,1.872,1.13,56.0,0.73,21.0,2.0,6.0,10.0,60.71,69.44,1.7,2.84,68.18,2.14,20.0,4.0
Michael Thompson,12.0,15.0,8.0,89.29,79.17,1.86,0.31,73.33,2.6,1.0,3.0,5.0,6.0,66.07,55.56,1.55,1.97,71.88,2.0,1.0,5.0
Xander Schauffele,12.0,11.0,11.0,60.71,69.44,1.82,1.88,45.45,0.83,4.0,2.0,17.0,8.0,48.21,56.94,1.805,-1.03,58.06,0.87,3.0,5.0
Kiradech Aphibarnrat,13.0,15.0,16.0,58.93,54.17,1.692,0.88,54.55,0.93,4.0,2.0,6.0,11.0,73.21,75.0,1.63,2.56,72.22,4.2,3.0,3.0
Troy Merritt,13.0,15.0,13.0,76.79,79.17,1.737,0.31,60.0,2.13,3.0,3.0,5.0,3.0,73.21,59.72,1.767,1.97,75.86,2.0,1.0,5.0
Byeong Hun An,13.0,20.0,10.0,41.07,59.72,1.791,-0.92,55.17,0.79,1.0,1.0,8.0,5.0,50.0,77.78,1.714,2.13,68.75,3.4,19.0,7.0
Andrew Putnam,13.0,5.0,8.0,62.5,70.83,1.686,2.83,52.38,1.67,2.0,1.0,22.0,16.0,51.79,51.39,1.757,-0.87,42.86,0.45,1.0,2.0
Peter Malnati,13.0,15.0,10.0,48.21,58.33,1.714,0.33,56.67,1.0,2.0,1.0,6.0,6.0,62.5,55.56,1.675,1.72,68.75,1.7,5.0,5.0
Bryson DeChambeau,14.0,9.0,4.0,66.07,62.5,1.733,0.77,59.26,1.43,13.0,6.0,7.0,7.0,75.0,68.06,1.673,1.73,56.52,2.1,11.0,10.0
Aaron Baddeley,14.0,16.0,11.0,39.29,55.56,1.75,0.08,65.63,0.92,1.0,1.0,13.0,9.0,55.36,61.11,1.682,0.88,67.86,1.7,2.0,7.0
Ryan Armour,14.0,17.0,8.0,64.29,55.56,1.95,-1.03,78.13,0.67,3.0,5.0,17.0,8.0,64.29,62.5,1.756,-0.12,70.37,1.4,2.0,7.0
Nick Watney,14.0,8.0,4.0,57.14,70.83,1.784,2.08,71.43,1.67,1.0,1.0,13.0,11.0,51.79,65.28,1.809,1.09,68.0,1.22,2.0,4.0
Brian Harman,15.0,14.0,8.0,66.07,72.22,1.865,0.58,55.0,0.9,1.0,1.0,11.0,12.0,62.5,59.72,1.744,1.59,68.97,1.6,1.0,4.0
Rory Sabbatini,15.0,7.0,3.0,64.29,65.28,1.787,2.33,64.0,1.55,10.0,1.0,6.0,6.0,78.57,76.39,1.709,2.56,82.35,5.25,9.0,3.0
Danny Willett,15.0,15.0,13.0,57.14,69.44,1.86,0.88,45.45,0.75,1.0,2.0,10.0,4.0,48.08,61.11,1.795,0.41,64.29,0.93,1.0,9.0
Russell Knox,15.0,8.0,8.0,69.64,72.22,1.75,2.08,70.0,2.14,1.0,1.0,14.0,11.0,94.64,73.61,1.792,0.56,84.21,3.0,2.0,3.0
Joaquin Niemann,15.0,14.0,10.0,55.36,58.33,1.833,0.58,73.33,1.0,1.0,1.0,14.0,12.0,53.57,65.28,1.702,0.84,44.0,1.07,1.0,4.0
Austin Cook,15.0,11.0,8.0,62.5,55.56,1.7,1.33,65.63,1.36,1.0,1.0,4.0,0.0,55.77,51.39,1.622,1.91,62.86,1.38,1.0,9.0
Brian Stuard,16.0,19.0,11.0,64.29,54.17,1.897,-0.67,66.67,0.5,5.0,1.0,16.0,13.0,89.29,79.17,1.825,0.06,73.33,2.17,4.0,3.0
Tyrrell Hatton,16.0,8.0,6.0,50.0,69.44,1.78,2.08,63.64,1.63,4.0,1.0,16.0,12.0,71.43,66.67,1.875,0.63,45.83,0.56,3.0,2.0
Jim Furyk,16.0,9.0,4.0,71.43,70.83,1.745,1.83,61.9,1.63,1.0,1.0,12.0,10.0,60.71,73.61,1.792,1.13,73.68,2.6,7.0,7.0
Ryan Moore,16.0,19.0,13.0,82.14,70.83,1.765,-0.69,61.9,1.4,3.0,3.0,11.0,7.0,75.0,56.94,1.707,0.47,67.74,1.25,2.0,5.0
Henrik Stenson,17.0,16.0,14.0,55.36,58.33,1.833,0.63,53.33,0.53,7.0,2.0,10.0,10.0,91.07,81.94,1.746,1.56,69.23,3.6,6.0,3.0
K.H. Lee,17.0,19.0,10.0,53.57,62.5,1.844,-0.67,59.26,0.73,7.0,1.0,18.0,11.0,60.71,59.72,1.814,-0.16,58.62,0.71,5.0,4.0
Haotong Li,17.0,14.0,14.0,58.93,61.11,1.773,1.13,53.57,0.82,4.0,2.0,12.0,9.0,69.64,68.06,1.857,0.02,56.52,1.15,3.0,6.0
Max Homa,17.0,12.0,7.0,53.57,61.11,1.795,1.08,64.29,1.09,3.0,1.0,19.0,13.0,55.36,58.33,1.881,-0.12,43.33,0.45,2.0,2.0
Kevin Kisner,18.0,11.0,6.0,64.29,61.11,1.795,0.47,57.14,1.15,12.0,5.0,8.0,5.0,73.21,70.83,1.745,1.02,57.14,1.7,11.0,6.0
Brendan Steele,18.0,17.0,11.0,66.07,68.06,1.816,0.09,47.83,1.08,1.0,4.0,15.0,10.0,57.14,69.44,1.72,0.38,59.09,1.6,1.0,7.0
David Lingmerth,18.0,14.0,13.0,87.5,76.39,1.691,0.56,47.06,1.91,1.0,3.0,13.0,8.0,60.71,62.5,1.733,0.25,62.96,1.27,1.0,14.0
Si Woo Kim,18.0,8.0,7.0,71.43,63.89,1.717,1.02,57.69,1.58,4.0,6.0,5.0,0.0,57.14,66.67,1.542,2.88,75.0,3.5,3.0,7.0
Matt Jones,18.0,6.0,9.0,76.79,77.78,1.661,2.56,62.5,2.78,10.0,3.0,14.0,9.0,55.36,62.5,1.778,0.84,66.67,1.3,9.0,4.0
Rafa Cabrera Bello,18.0,20.0,16.0,57.14,47.22,1.853,-0.37,57.89,0.41,6.0,2.0,15.0,14.0,78.57,73.61,1.736,0.31,57.89,1.7,5.0,3.0
Alex Noren,18.0,17.0,14.0,55.36,56.94,1.854,0.38,45.16,0.53,5.0,2.0,13.0,12.0,87.5,76.39,1.709,0.81,64.71,2.57,4.0,3.0
Vaughn Taylor,19.0,18.0,10.0,48.21,58.33,1.81,-0.42,56.67,0.67,3.0,1.0,9.0,10.0,91.07,79.17,1.702,1.81,73.33,4.5,2.0,3.0
Scott Stallings,19.0,13.0,6.0,51.79,48.61,1.686,-0.03,67.57,0.93,3.0,5.0,12.0,5.0,46.43,65.28,1.596,1.13,56.0,1.82,2.0,7.0
David Lipsky,19.0,20.0,16.0,58.93,52.78,1.789,-0.37,44.12,0.45,6.0,2.0,8.0,8.0,75.0,65.28,1.596,1.43,64.0,2.11,5.0,8.0
Keith Mitchell,19.0,16.0,13.0,85.71,77.78,1.768,0.06,56.25,2.0,2.0,3.0,8.0,11.0,57.14,70.83,1.765,2.34,57.14,1.8,1.0,4.0
Gary Woodland,20.0,9.0,12.0,60.71,70.83,1.804,2.38,57.14,1.25,4.0,2.0,10.0,4.0,55.36,62.5,1.822,0.52,51.85,1.23,2.0,6.0
Anirban Lahiri,20.0,17.0,8.0,42.86,56.94,1.756,-0.17,58.06,0.77,1.0,1.0,8.0,5.0,59.62,51.39,1.757,0.91,71.43,1.0,4.0,9.0
Adam Hadwin,20.0,13.0,14.0,55.36,59.72,1.86,1.38,62.07,0.69,4.0,2.0,14.0,11.0,58.93,65.28,1.809,0.84,60.0,1.33,3.0,4.0
J.T. Poston,20.0,18.0,16.0,73.21,56.94,1.951,0.13,58.06,0.5,1.0,2.0,3.0,9.0,71.43,63.89,1.739,2.47,88.46,4.33,2.0,5.0
Lucas Glover,20.0,11.0,13.0,60.71,54.17,1.744,1.88,57.58,0.79,3.0,2.0,13.0,8.0,66.07,59.72,1.814,1.09,72.41,1.18,2.0,4.0
Louis Oosthuizen,21.0,18.0,10.0,60.71,54.17,1.769,0.13,42.42,0.47,1.0,2.0,9.0,0.0,71.43,66.67,1.792,0.77,66.67,1.45,4.0,6.0
Luke Donald,21.0,9.0,7.0,50.0,65.28,1.723,0.97,64.0,1.56,1.0,5.0,4.0,1.0,59.62,52.78,1.684,1.91,76.47,1.5,1.0,9.0
Pat Perez,21.0,22.0,13.0,50.0,47.22,1.794,-0.87,47.37,0.45,3.0,2.0,8.0,12.0,89.29,76.39,1.691,2.06,70.59,2.71,2.0,3.0
Sam Ryder,21.0,15.0,7.0,53.57,65.28,1.702,0.38,60.0,1.42,1.0,7.0,10.0,8.0,66.07,62.5,1.711,0.82,59.26,1.27,5.0,11.0
Sungjae Im,21.0,13.0,8.0,62.5,59.72,1.674,1.09,55.17,1.2,2.0,4.0,11.0,10.0,60.71,72.22,1.769,1.38,80.0,2.8,3.0,7.0
Joost Luiten,22.0,19.0,16.0,57.14,58.33,1.857,-0.12,53.33,0.47,4.0,2.0,19.0,9.0,57.14,69.44,1.74,-0.62,54.55,1.25,3.0,7.0
Jason Kokrak,22.0,12.0,15.0,62.5,58.33,1.786,1.63,56.67,0.75,22.0,2.0,23.0,9.0,57.14,72.22,1.885,-1.41,40.0,0.6,21.0,4.0
Shubhankar Sharma,22.0,29.0,16.0,64.29,63.89,1.848,-2.14,46.15,0.71,4.0,13.0,30.0,27.0,58.93,45.83,1.758,-2.74,43.59,0.54,3.0,25.0
Corey Conners,23.0,14.0,11.0,58.93,66.67,1.813,0.58,66.67,1.18,3.0,1.0,19.0,16.0,69.64,63.89,1.935,-0.12,50.0,0.33,2.0,2.0
Abraham Ancer,23.0,18.0,9.0,58.93,65.28,1.83,-0.42,52.0,0.86,3.0,1.0,11.0,15.0,67.86,56.94,1.805,1.88,58.06,0.86,2.0,2.0
Adam Schenk,23.0,9.0,10.0,51.79,73.61,1.717,2.09,63.16,2.13,1.0,4.0,8.0,4.0,55.36,66.67,1.583,2.13,66.67,2.5,2.0,7.0
Joel Dahmen,24.0,20.0,14.0,67.86,62.5,1.867,-0.37,33.33,0.48,8.0,2.0,3.0,1.0,76.79,77.78,1.714,3.59,56.25,2.71,7.0,4.0
Matt Fitzpatrick,24.0,19.0,9.0,55.36,59.72,1.791,-0.67,55.17,0.67,8.0,1.0,15.0,12.0,71.43,63.89,1.826,0.88,50.0,0.73,7.0,2.0
K.J. Choi,28.0,5.0,3.0,69.64,58.33,1.714,1.97,73.33,1.88,2.0,5.0,22.0,10.0,69.64,65.28,1.66,-1.37,40.0,1.13,1.0,7.0
Boo Weekley,28.0,7.0,6.0,66.07,59.72,1.767,1.47,72.41,1.45,2.0,5.0,10.0,9.0,62.5,73.61,1.774,1.0,63.16,1.42,1.0,14.0
"Ted Potter, Jr.",31.0,18.0,11.0,53.57,63.89,1.848,-0.42,53.85,0.69,1.0,1.0,19.0,9.0,62.5,51.39,1.73,-1.53,51.43,0.72,2.0,5.0
Kevin Na,0.0,13.0,11.0,83.93,75.0,1.778,0.81,72.22,2.43,5.0,2.0,5.0,6.0,71.43,61.11,1.682,1.97,71.43,2.0,4.0,4.0
Tony Finau,4.0,19.0,15.0,39.29,59.72,1.86,-0.12,41.38,0.39,2.0,1.0,18.0,10.0,48.21,63.89,1.848,-0.16,53.85,0.85,1.0,3.0
C.T. Pan,5.0,13.0,10.0,82.14,72.22,1.808,0.81,70.0,2.11,1.0,2.0,0.0,3.0,51.79,58.33,1.524,3.22,73.33,2.5,1.0,4.0
Andrew Putnam,5.0,22.0,16.0,51.79,51.39,1.757,-0.87,42.86,0.45,1.0,1.0,14.0,10.0,48.21,63.89,1.652,0.63,61.54,1.6,2.0,6.0
Jonas Blixt,6.0,10.0,9.0,89.29,80.56,1.741,1.56,71.43,3.6,1.0,2.0,13.0,10.0,60.71,58.33,1.667,0.88,73.33,1.88,6.0,6.0
Rory Sabbatini,7.0,6.0,6.0,78.57,76.39,1.709,2.56,82.35,5.25,9.0,2.0,10.0,11.0,67.86,66.67,1.75,1.84,66.67,1.58,8.0,3.0
Ryan Palmer,7.0,14.0,11.0,92.86,83.33,1.833,0.56,50.0,2.0,3.0,2.0,8.0,4.0,53.57,56.94,1.659,1.22,67.74,1.6,1.0,4.0
Nick Watney,8.0,13.0,11.0,51.79,65.28,1.809,1.09,68.0,1.22,2.0,3.0,9.0,7.0,46.15,56.94,1.78,0.66,61.29,1.0,1.0,8.0
Russell Knox,8.0,14.0,11.0,94.64,73.61,1.792,0.56,84.21,3.0,2.0,2.0,7.0,7.0,61.54,59.72,1.721,1.16,58.62,1.0,10.0,8.0
Jordan Spieth,8.0,6.0,7.0,48.21,61.11,1.705,3.13,67.86,1.44,6.0,1.0,12.0,9.0,78.57,76.39,1.636,1.06,47.06,2.3,5.0,2.0
Tyrrell Hatton,8.0,16.0,12.0,71.43,66.67,1.875,0.63,45.83,0.56,3.0,1.0,17.0,9.0,69.64,65.28,1.83,-1.23,40.0,0.87,2.0,5.0
Mackenzie Hughes,8.0,17.0,7.0,62.5,56.94,1.78,-1.03,64.52,0.92,4.0,4.0,15.0,9.0,58.93,65.28,1.723,0.38,64.0,1.56,3.0,6.0
Peter Uihlein,9.0,6.0,14.0,73.21,76.39,1.764,2.56,88.24,6.33,1.0,2.0,8.0,7.0,60.71,75.0,1.722,1.43,66.67,2.25,2.0,7.0
Brian Gay,9.0,19.0,14.0,85.71,70.83,1.765,-0.69,61.9,1.4,6.0,2.0,14.0,6.0,62.5,50.0,1.694,-0.28,66.67,1.0,4.0,4.0
Jim Furyk,9.0,12.0,10.0,60.71,73.61,1.792,1.13,73.68,2.6,7.0,6.0,6.0,4.0,73.08,68.06,1.796,1.41,65.22,1.27,5.0,8.0
Charley Hoffman,9.0,17.0,14.0,50.0,56.94,1.805,0.38,51.61,0.61,6.0,1.0,12.0,4.0,55.36,61.11,1.75,0.22,60.71,1.09,4.0,4.0
Josh Teater,10.0,17.0,5.0,64.29,66.67,1.708,-0.12,58.33,1.64,1.0,6.0,15.0,11.0,63.64,72.22,1.923,0.48,75.0,1.5,1.0,15.0
Matt Every,10.0,2.0,4.0,78.57,77.78,1.536,3.56,50.0,3.11,1.0,2.0,7.0,6.0,55.36,73.61,1.792,1.75,63.16,1.88,4.0,13.0
Brandt Snedeker,11.0,11.0,13.0,71.43,61.11,1.727,1.88,50.0,0.86,2.0,1.0,13.0,9.0,53.57,55.56,1.775,-0.03,65.63,0.92,1.0,4.0
Billy Horschel,11.0,12.0,14.0,57.14,59.72,1.767,1.63,55.17,0.77,4.0,1.0,12.0,4.0,66.07,61.11,1.841,0.22,67.86,1.0,2.0,4.0
Emiliano Grillo,11.0,12.0,15.0,60.71,65.28,1.745,1.63,40.0,0.81,5.0,1.0,9.0,2.0,67.86,61.11,1.75,0.97,60.71,1.08,4.0,4.0
Kevin Tway,11.0,21.0,15.0,48.21,58.33,1.881,-0.62,43.33,0.45,4.0,1.0,15.0,10.0,69.64,79.17,1.789,0.31,60.0,1.89,3.0,2.0
Adam Long,11.0,15.0,15.0,66.07,65.28,1.957,0.88,64.0,0.5,2.0,1.0,15.0,10.0,60.71,61.11,1.773,0.59,67.86,1.0,1.0,3.0
Austin Cook,11.0,4.0,0.0,55.77,51.39,1.622,1.91,62.86,1.38,1.0,8.0,5.0,11.0,85.71,86.11,1.758,1.82,70.0,4.5,1.0,21.0
Jimmy Walker,11.0,12.0,12.0,58.93,69.44,1.88,1.63,59.09,0.75,1.0,1.0,15.0,10.0,44.64,59.72,1.837,0.59,75.86,1.13,5.0,3.0
Scott Piercy,11.0,15.0,11.0,58.93,63.89,1.826,0.88,46.15,0.65,6.0,1.0,2.0,4.0,57.14,70.83,1.725,2.72,76.19,2.67,3.0,4.0
J.J. Henry,12.0,18.0,11.0,66.07,50.0,1.75,-0.16,55.56,0.76,2.0,3.0,6.0,7.0,78.57,66.67,1.688,2.0,75.0,2.5,1.0,13.0
Max Homa,12.0,19.0,13.0,55.36,58.33,1.881,-0.12,43.33,0.45,2.0,1.0,0.0,1.0,55.36,68.06,1.612,4.34,78.26,4.0,1.0,3.0
Tyrone Van Aswegen,13.0,12.0,4.0,58.93,66.67,1.708,0.43,70.83,1.86,1.0,7.0,14.0,7.0,48.21,66.67,1.813,-0.64,58.33,0.92,1.0,28.0
Talor Gooch,13.0,8.0,5.0,50.0,69.44,1.76,1.2,45.45,1.25,1.0,11.0,5.0,8.0,62.5,73.61,1.585,3.22,73.68,4.2,2.0,17.0
Roger Sloan,14.0,13.0,6.0,44.23,52.78,1.763,-0.34,64.71,0.92,4.0,8.0,8.0,4.0,69.64,62.5,1.689,1.32,55.56,1.33,3.0,10.0
Chesson Hadley,14.0,14.0,7.0,48.08,55.56,1.825,-0.59,59.38,0.71,1.0,8.0,7.0,7.0,66.07,66.67,1.729,1.57,75.0,2.29,2.0,10.0
Corey Conners,14.0,19.0,16.0,69.64,63.89,1.935,-0.12,50.0,0.33,2.0,1.0,13.0,4.0,73.21,69.44,1.9,-0.23,59.09,1.08,2.0,5.0
Joaquin Niemann,14.0,14.0,12.0,53.57,65.28,1.702,0.84,44.0,1.07,1.0,3.0,9.0,6.0,51.92,62.5,1.8,0.66,55.56,0.86,4.0,8.0
Sam Burns,14.0,13.0,14.0,62.5,59.72,1.744,1.38,37.93,0.75,2.0,1.0,4.0,4.0,46.43,52.78,1.5,2.22,67.65,1.82,6.0,4.0
Jhonattan Vegas,14.0,8.0,8.0,51.79,69.44,1.74,2.34,54.55,1.38,1.0,3.0,13.0,6.0,55.36,65.28,1.681,0.88,68.0,1.78,5.0,6.0
Kevin Streelman,14.0,15.0,9.0,69.64,73.61,1.906,0.59,52.63,1.0,1.0,3.0,3.0,5.0,58.93,65.28,1.681,2.47,64.0,1.89,2.0,4.0
Brian Harman,14.0,11.0,12.0,62.5,59.72,1.744,1.59,68.97,1.6,1.0,3.0,4.0,3.0,69.64,73.61,1.698,2.48,68.42,2.71,1.0,9.0
Martin Kaymer,15.0,15.0,10.0,64.29,68.06,1.898,-0.73,52.17,0.93,6.0,5.0,15.0,11.0,57.14,73.61,1.755,0.38,52.63,1.56,5.0,6.0
Jason Dufner,15.0,6.0,0.0,73.21,69.44,1.78,2.84,72.73,2.0,1.0,3.0,17.0,9.0,58.93,66.67,1.771,-1.03,45.83,0.87,1.0,4.0
Brice Garnett,15.0,18.0,10.0,60.71,61.11,1.818,-0.16,53.57,0.82,1.0,3.0,11.0,6.0,83.93,77.78,1.768,0.68,62.5,2.0,1.0,7.0
Peter Malnati,15.0,6.0,6.0,62.5,55.56,1.675,1.72,68.75,1.7,5.0,4.0,12.0,7.0,53.57,58.33,1.571,1.13,70.0,1.8,4.0,6.0
Beau Hossler,15.0,14.0,13.0,64.29,61.11,1.773,1.13,46.43,0.74,3.0,1.0,14.0,7.0,91.07,75.0,1.704,0.56,55.56,2.25,2.0,2.0
Tom Hoge,15.0,18.0,13.0,80.36,79.17,1.772,-0.44,53.33,1.8,3.0,2.0,20.0,9.0,57.14,58.33,1.833,-0.66,56.67,0.71,2.0,3.0
Ben Silverman,15.0,19.0,8.0,55.36,56.94,1.707,-1.53,45.16,0.82,1.0,4.0,6.0,4.0,75.0,73.61,1.736,1.93,73.68,2.5,1.0,7.0
Trey Mullinax,15.0,16.0,10.0,41.07,65.28,1.766,0.34,52.0,1.07,6.0,3.0,6.0,1.0,44.64,65.28,1.723,1.72,68.0,1.8,4.0,4.0
Chris Stroud,16.0,1.0,4.0,71.43,72.22,1.615,3.18,80.0,4.6,2.0,7.0,17.0,7.0,61.54,51.39,1.973,-1.34,65.71,0.53,1.0,8.0
Scott Brown,16.0,8.0,6.0,60.71,68.06,1.633,2.13,69.57,2.57,1.0,6.0,8.0,6.0,66.07,66.67,1.771,1.2,58.33,1.27,3.0,11.0
Danny Lee,16.0,14.0,10.0,42.86,50.0,1.694,1.13,55.56,0.8,1.0,1.0,11.0,8.0,57.14,68.06,1.837,0.47,73.91,1.29,3.0,4.0
Aaron Baddeley,16.0,13.0,9.0,55.36,61.11,1.682,0.88,67.86,1.7,2.0,6.0,4.0,1.0,64.29,63.89,1.63,2.43,80.77,3.33,1.0,7.0
Bill Haas,16.0,15.0,12.0,91.07,81.94,1.831,0.31,61.54,1.89,3.0,2.0,16.0,10.0,48.21,59.72,1.791,0.34,55.17,1.0,2.0,3.0
Francesco Molinari,17.0,16.0,12.0,69.64,66.67,1.792,0.63,25.0,0.58,1.0,1.0,2.0,0.0,73.21,65.28,1.681,2.52,84.0,4.25,9.0,5.0
Martin Laird,17.0,13.0,7.0,92.86,73.61,1.736,0.81,73.68,2.83,3.0,2.0,13.0,7.0,60.71,62.5,1.667,1.09,55.56,1.25,2.0,3.0
Branden Grace,17.0,17.0,13.0,80.36,79.17,1.807,-0.19,53.33,1.5,5.0,2.0,16.0,9.0,55.36,55.56,1.85,-0.78,68.75,0.75,3.0,4.0
Anirban Lahiri,17.0,8.0,5.0,59.62,51.39,1.757,0.91,71.43,1.0,4.0,8.0,20.0,8.0,55.36,50.0,1.806,-1.68,63.89,0.78,2.0,10.0
Daniel Berger,17.0,20.0,8.0,58.93,55.56,1.85,-0.37,50.0,0.5,4.0,1.0,11.0,12.0,83.93,81.94,1.695,1.31,46.15,2.22,3.0,2.0
Abraham Ancer,18.0,11.0,15.0,67.86,56.94,1.805,1.88,58.06,0.86,2.0,1.0,16.0,14.0,73.21,69.44,1.74,0.06,63.64,1.58,1.0,2.0
Justin Rose,18.0,13.0,9.0,57.14,65.28,1.83,1.38,52.0,0.75,2.0,1.0,4.0,6.0,46.43,69.44,1.7,3.34,77.27,2.83,1.0,3.0
Vaughn Taylor,18.0,9.0,10.0,91.07,79.17,1.702,1.81,73.33,4.5,2.0,2.0,9.0,8.0,69.64,75.0,1.741,2.09,66.67,2.14,1.0,3.0
"Ted Potter, Jr.",18.0,19.0,9.0,62.5,51.39,1.73,-1.53,51.43,0.72,2.0,4.0,19.0,8.0,41.07,51.39,1.703,-0.97,51.43,0.84,1.0,14.0
Cameron Champ,18.0,17.0,15.0,53.57,65.28,1.915,0.38,52.0,0.56,1.0,1.0,13.0,12.0,54.55,75.0,1.833,1.76,55.56,1.38,2.0,15.0
Ben Crane,19.0,10.0,5.0,75.0,59.72,1.674,0.93,72.41,2.0,1.0,7.0,5.0,1.0,60.71,63.89,1.674,2.25,73.08,2.43,1.0,13.0
Brian Stuard,19.0,16.0,13.0,89.29,79.17,1.825,0.06,73.33,2.17,4.0,2.0,6.0,5.0,67.86,66.67,1.708,1.72,62.5,1.6,2.0,4.0
K.H. Lee,19.0,18.0,11.0,60.71,59.72,1.814,-0.16,58.62,0.71,5.0,3.0,13.0,6.0,62.5,56.94,1.683,-0.03,58.06,1.0,3.0,4.0
Matt Fitzpatrick,19.0,15.0,12.0,71.43,63.89,1.826,0.88,50.0,0.73,7.0,1.0,10.0,9.0,76.79,63.89,1.652,0.72,53.85,1.33,6.0,4.0
Byeong Hun An,20.0,8.0,5.0,50.0,77.78,1.714,2.13,68.75,3.4,19.0,6.0,9.0,5.0,62.5,63.89,1.783,1.23,61.54,1.73,17.0,9.0
Nate Lashley,21.0,12.0,14.0,85.71,70.83,1.706,1.06,71.43,2.38,2.0,2.0,15.0,10.0,66.07,68.06,1.857,0.59,65.22,1.0,1.0,3.0
Dominic Bozzelli,22.0,11.0,7.0,69.64,70.83,1.706,0.68,61.9,2.13,1.0,7.0,9.0,6.0,55.36,70.83,1.804,1.25,66.67,1.75,2.0,13.0
Ian Poulter,22.0,5.0,4.0,66.07,65.28,1.66,1.97,64.0,1.89,11.0,4.0,5.0,2.0,69.64,76.39,1.855,1.77,64.71,2.13,10.0,5.0
Tim Herron,24.0,20.0,7.0,57.14,54.17,1.795,-1.68,54.55,0.68,2.0,10.0,11.0,6.0,60.71,70.83,1.824,0.75,71.43,1.57,1.0,13.0
Graeme McDowell,25.0,13.0,14.0,66.07,62.5,1.8,1.38,44.44,0.67,11.0,1.0,13.0,6.0,57.14,59.72,1.721,-0.03,58.62,1.14,9.0,4.0
Brooks Koepka,0.0,3.0,5.0,75.0,81.94,1.678,3.31,69.23,4.17,5.0,1.0,1.0,0.0,69.64,73.61,1.792,2.77,68.42,2.33,3.0,4.0
Dustin Johnson,2.0,8.0,2.0,60.71,63.89,1.63,1.22,57.69,1.55,17.0,3.0,1.0,1.0,60.71,70.83,1.765,2.77,80.95,3.4,16.0,4.0
Jordan Spieth,6.0,12.0,9.0,78.57,76.39,1.636,1.06,47.06,2.3,5.0,1.0,14.0,4.0,51.79,56.94,1.756,-0.28,58.06,1.15,4.0,3.0
Patrick Cantlay,6.0,2.0,6.0,51.79,56.94,1.634,2.72,80.65,2.83,3.0,3.0,3.0,9.0,64.29,61.11,1.636,2.27,67.86,2.11,2.0,4.0
Matt Wallace,6.0,10.0,10.0,57.14,70.83,1.922,0.98,85.71,1.67,6.0,8.0,4.0,5.0,57.14,65.28,1.723,2.32,64.0,1.7,5.0,9.0
Luke List,7.0,20.0,12.0,53.57,63.89,1.87,-0.66,61.54,0.77,2.0,2.0,11.0,6.0,46.43,62.5,1.667,0.47,51.85,1.21,1.0,3.0
Sung Kang,8.0,0.0,0.0,85.71,79.17,1.614,4.06,66.67,4.5,1.0,1.0,15.0,11.0,55.36,66.67,1.729,0.38,54.17,1.38,7.0,5.0
Rory McIlroy,9.0,8.0,5.0,55.36,72.22,1.827,2.34,75.0,2.13,17.0,2.0,8.0,7.0,58.93,62.5,1.689,1.02,40.74,1.13,16.0,4.0
Gary Woodland,9.0,10.0,4.0,55.36,62.5,1.822,0.52,51.85,1.23,2.0,4.0,10.0,9.0,69.64,63.89,1.826,0.98,76.92,1.89,22.0,8.0
Shane Lowry,9.0,2.0,0.0,67.86,65.28,1.766,2.72,80.0,2.83,1.0,3.0,30.0,15.0,42.86,56.94,1.683,-2.39,45.16,0.76,1.0,11.0
Erik van Rooyen,9.0,20.0,9.0,57.14,61.11,1.659,0.11,42.86,1.06,3.0,11.0,15.0,15.0,62.5,68.06,1.878,1.01,60.87,1.0,2.0,23.0
Matt Kuchar,9.0,1.0,5.0,64.29,59.72,1.628,2.97,75.86,2.57,15.0,3.0,5.0,3.0,73.21,73.61,1.736,1.77,42.11,1.5,14.0,4.0
Adam Scott,9.0,7.0,0.0,71.43,75.0,1.815,1.27,66.67,1.67,2.0,4.0,5.0,7.0,62.5,69.44,1.76,2.23,72.73,2.38,1.0,8.0
Chez Reavie,10.0,10.0,10.0,80.36,72.22,1.808,1.84,60.0,1.56,4.0,2.0,8.0,6.0,80.36,51.39,1.676,1.22,77.14,1.56,2.0,3.0
Lucas Glover,11.0,13.0,8.0,66.07,59.72,1.814,1.09,72.41,1.18,2.0,2.0,9.0,10.0,60.71,69.44,1.72,1.88,77.27,2.25,2.0,5.0
Brandt Snedeker,11.0,13.0,9.0,53.57,55.56,1.775,-0.03,65.63,0.92,1.0,3.0,8.0,4.0,59.62,47.22,1.794,0.91,76.32,1.0,3.0,7.0
